system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
AlRh,Al3Rh1,struct_5741_0_relaxed.vasp,-0.4088154187499997,0.00022359812500027942,AlRh/Al3Rh1/xyz2poscar/struct_5741_0_relaxed.vasp,ee287ac3b946106e2a83dd24f6385eb9406f8b82972fe3288ad556983aa10544
AlRh,Al5Rh1,struct_7712_2_relaxed.vasp,-0.28770122708333307,0.0,AlRh/Al5Rh1/xyz2poscar/struct_7712_2_relaxed.vasp,a0fc7235937c7a3678e3ba39fc7ef70636b8a27cb1b9a226d0846f13d791be14
AlSc,Al1Sc1,struct_1557_9_relaxed.vasp,-0.46072288749999935,0.0,AlSc/Al1Sc1/xyz2poscar/struct_1557_9_relaxed.vasp,e6d1e630678f9f7c7022443a301121764ab4428dcae0375b9c08c3b069700ccc
AlSc,Al1Sc2,struct_10415_4_relaxed.vasp,-0.3442944002777766,0.0,AlSc/Al1Sc2/xyz2poscar/struct_10415_4_relaxed.vasp,c064ee0b46f8771782d220db2eb5a629383fc02850c27b55eead3098ae727228
AlSc,Al1Sc3,struct_19783_3_relaxed.vasp,-0.2648530293749995,0.0,AlSc/Al1Sc3/xyz2poscar/struct_19783_3_relaxed.vasp,f95cf3c89f02639d2e781be3d6c697080f88dec5dc097b4ac1c0d7a2011c78d1
AlSc,Al2Sc1,struct_4534_2_relaxed.vasp,-0.4816656583333317,0.0,AlSc/Al2Sc1/xyz2poscar/struct_4534_2_relaxed.vasp,4869f7451fed0868648665f8931595dfda578b138811c21857b0b4c0f8b9bf3f
AlSc,Al3Sc1,struct_12506_2_relaxed.vasp,-0.4505158739583308,0.0,AlSc/Al3Sc1/xyz2poscar/struct_12506_2_relaxed.vasp,c954eecdbd91a6340169a81bb27e280de5af0f4626de03cbdb03c29e1f33de6a
AlTi,Al1Ti1,struct_4092_8_relaxed.vasp,-0.4033405803124994,0.0,AlTi/Al1Ti1/xyz2poscar/struct_4092_8_relaxed.vasp,69cdc8a61fe410d6e0f508e05f37a2d58711f10bb31c2139844a97b7999a1b02
AlTi,Al1Ti3,struct_1200_0_relaxed.vasp,-0.2668716387500014,0.0,AlTi/Al1Ti3/xyz2poscar/struct_1200_0_relaxed.vasp,75f709749a07222e1bf1c9dd9da086e3d27aba405eacfd84588afa568b80b098
AlTi,Al2Ti1,struct_3190_0_relaxed.vasp,-0.42684454041666875,0.0,AlTi/Al2Ti1/xyz2poscar/struct_3190_0_relaxed.vasp,e5db1822bd66af7985816bce9614acfce677180b4893d88b123daf35b45fe989
AlTi,Al3Ti1,struct_1643_4_relaxed.vasp,-0.40221285291666814,0.0,AlTi/Al3Ti1/xyz2poscar/struct_1643_4_relaxed.vasp,40e0922325f824ea6a785db5063f6125efcdb53177bb637d5c8ee8d8f1ef61f1
AlTi,Al3Ti4,struct_3714_1_relaxed.vasp,-0.3677174387500009,0.0,AlTi/Al3Ti4/xyz2poscar/struct_3714_1_relaxed.vasp,12e0fde7dae2eab7e192002377cc66726d4acf9c423e011166916040375bcd27
