system,phase,filename,reduced_formula,number_of_atoms,space_group_symbol,space_group_number,target_element,target_element_fraction,dft_formation_energy_eV_per_atom,dft_distance_to_combined_hull_eV_per_atom,mlip_formation_energy_eV_per_atom,mlip_distance_to_search_hull_eV_per_atom,materials_project_match,materials_project_references_checked,source_relative_path,sha256
MgPd,Mg2Pd3,struct_3208_4_relaxed.vasp,Mg2Pd3,40,P2_12_12_1,19,Pd,0.6,-0.6617440254999977,0.0,-0.6172647054716606,0.004769365277639825,False,0,MgPd/Mg2Pd3/xyz2poscar/struct_3208_4_relaxed.vasp,d75de06a884ceaf87836e330d46d6e41c6bc38d54308506763fcd3f010a82617
MgPd,Mg4Pd1,struct_8909_0_relaxed.vasp,Mg4Pd,20,P2_13,198,Pd,0.2,-0.34714158449999954,0.0,-0.3248025354299632,0.0,False,0,MgPd/Mg4Pd1/xyz2poscar/struct_8909_0_relaxed.vasp,5bd375faad2761cada5b4109c4ae7f9c6b79037cc1954b14b5f45e9d4def8742
MoTi,Mo1Ti1,struct_3699_5_relaxed.vasp,TiMo,32,Imma,74,Ti,0.5,-0.10126848687499823,0.0,-0.11206601504268576,0.0,False,2,MoTi/Mo1Ti1/xyz2poscar/struct_3699_5_relaxed.vasp,75d0e1dc86aab2af7ff97dcdb1b86030a6b2f5904df6754cea71ebb135a92d6d
MoTi,Mo2Ti1,struct_1784_7_relaxed.vasp,TiMo2,24,I4/mmm,139,Ti,0.3333333333333333,-0.11371155541666174,0.0,-0.11575880752282448,0.0014512874755100852,False,1,MoTi/Mo2Ti1/xyz2poscar/struct_1784_7_relaxed.vasp,29d9b4e2765d70187b0748fb684371c1513a58f1b83079b1ffc0de2b7548bc89
MoTi,Mo2Ti1,struct_5239_3_relaxed.vasp,TiMo2,48,P2_12_12_1,19,Ti,0.3333333333333333,-0.11278586687500791,0.0009256885416538269,-0.1030966402019698,0.014113454796364763,False,1,MoTi/Mo2Ti1/xyz2poscar/struct_5239_3_relaxed.vasp,b25edb81e1438def57b60dc16f984877d68dfb6afe840822715341d9090c89a4
MoTi,Mo3Ti1,struct_11814_7_relaxed.vasp,TiMo3,32,I4/mmm,139,Ti,0.25,-0.115976899375001,0.0,-0.10072102473379552,0.013866684189113812,False,1,MoTi/Mo3Ti1/xyz2poscar/struct_11814_7_relaxed.vasp,10a9fdffa26c6b23df008a71e9ed13e349d8150e34f587685d4a364d1600dd8f
MoTi,Mo5Ti1,struct_9172_1_relaxed.vasp,TiMo5,24,I4_1/amd,141,Ti,0.16666666666666666,-0.11444371499999424,0.0,-0.0812675079493405,0.002690194938583801,False,0,MoTi/Mo5Ti1/xyz2poscar/struct_9172_1_relaxed.vasp,62b7a541abe605344b03b06f71176c2cde5346e9ff643c2b7e357800c8e55754
OsTi,Os1Ti2,struct_9684_2_relaxed.vasp,Ti2Os,48,Cmcm,63,Ti,0.6666666666666666,-0.5185919535416753,0.0,-0.48242474095921634,0.0011855819470897866,False,0,OsTi/Os1Ti2/xyz2poscar/struct_9684_2_relaxed.vasp,7d478a99551dbc5313eb19d910baa0566683ca24c8a75d8bfd6333f37ffaac50
OsTi,Os1Ti4,struct_3028_1_relaxed.vasp,Ti4Os,40,P-1,2,Ti,0.8,-0.3287763172500021,0.0,-0.30252561865807054,0.0063658748307431345,False,0,OsTi/Os1Ti4/xyz2poscar/struct_3028_1_relaxed.vasp,5a37aa25dd9bc6a3a0f358ee39b0867c4a91f12a4dd6bb55a08c36401ea4bd26
OsTi,Os1Ti5,struct_1653_2_relaxed.vasp,Ti5Os,24,C2/c,15,Ti,0.8333333333333334,-0.2770366337499984,0.0,-0.25263781358954535,0.00477176431779941,False,0,OsTi/Os1Ti5/xyz2poscar/struct_1653_2_relaxed.vasp,6f36073bb5b142dfda58cccef911af46f3c61dc5570c6d48805596bf837110c2
