r_ij,median_interpolated,median_smoothed,E_ij,source,is_original_0p02A_grid
3.73,-0.12171343,-0.12267495,-0.12267495,maincluster_observed_0p02A_bin,True
3.74,-0.12045803,-0.12083325,-0.12083325,maincluster_pchip_resampled,False
3.75,-0.11930715,-0.11899800,-0.11899800,maincluster_observed_0p02A_bin,True
3.76,-0.11747712,-0.11712233,-0.11712233,maincluster_pchip_resampled,False
3.77,-0.11537378,-0.11525809,-0.11525809,maincluster_observed_0p02A_bin,True
3.78,-0.11308931,-0.11345630,-0.11345630,maincluster_pchip_resampled,False
3.79,-0.11113760,-0.11167001,-0.11167001,maincluster_observed_0p02A_bin,True
3.80,-0.11013024,-0.10985625,-0.10985625,maincluster_pchip_resampled,False
3.81,-0.10910390,-0.10805713,-0.10805713,maincluster_observed_0p02A_bin,True
3.82,-0.10700593,-0.10629588,-0.10629588,maincluster_pchip_resampled,False
3.83,-0.10448484,-0.10458354,-0.10458354,maincluster_observed_0p02A_bin,True
3.84,-0.10199962,-0.10296392,-0.10296392,maincluster_pchip_resampled,False
3.85,-0.10006649,-0.10135558,-0.10135558,maincluster_observed_0p02A_bin,True
3.86,-0.09928323,-0.09967282,-0.09967282,maincluster_pchip_resampled,False
3.87,-0.09850445,-0.09797788,-0.09797788,maincluster_observed_0p02A_bin,True
3.88,-0.09642859,-0.09629131,-0.09629131,maincluster_pchip_resampled,False
3.89,-0.09421438,-0.09465554,-0.09465554,maincluster_observed_0p02A_bin,True
3.90,-0.09307240,-0.09313441,-0.09313441,maincluster_pchip_resampled,False
3.91,-0.09208783,-0.09166704,-0.09166704,maincluster_observed_0p02A_bin,True
3.92,-0.09102017,-0.09021506,-0.09021506,maincluster_pchip_resampled,False
3.93,-0.08977906,-0.08879031,-0.08879031,maincluster_observed_0p02A_bin,True
3.94,-0.08783246,-0.08738035,-0.08738035,maincluster_pchip_resampled,False
3.95,-0.08585265,-0.08601981,-0.08601981,maincluster_observed_0p02A_bin,True
